hamburg_year,hamburg_avg_temp,hamburg_avg_decade,global_year,global_avg_temp,global_avg_decade
1743,6.23,6.23,,0,9.67
1744,9.63,7.93,,0,9.61
1745,1.25,5.70,,0,9.63
1746,0,5.70,,0,9.60
1747,0,5.70,,0,9.62
1748,0,5.70,,0,9.61
1749,0,5.70,,0,9.59
1750,9.31,6.61,1750,8.72,8.72
1751,8.94,7.07,1751,7.98,8.35
1752,4.65,6.67,1752,5.78,7.49
1753,8.12,6.98,1753,8.39,7.72
1754,7.88,6.69,1754,8.47,7.87
1755,7.69,7.77,1755,8.36,7.95
1756,8.64,7.89,1756,8.85,8.08
1757,8.48,7.96,1757,9.02,8.20
1758,7.76,7.94,1758,6.74,8.03
1759,8.69,8.02,1759,7.99,8.03
1760,8.36,7.92,1760,7.19,7.88
1761,8.86,7.91,1761,8.77,7.96
1762,7.81,8.23,1762,8.61,8.24
1763,7.80,8.20,1763,7.50,8.15
1764,8.25,8.23,1764,8.40,8.14
1765,7.91,8.26,1765,8.25,8.13
1766,8.27,8.22,1766,8.41,8.09
1767,7.59,8.13,1767,8.22,8.01
1768,7.64,8.12,1768,6.78,8.01
1769,7.97,8.05,1769,7.69,7.98
1770,7.98,8.01,1770,7.69,8.03
1771,7.10,7.83,1771,7.85,7.94
1772,8.26,7.88,1772,8.19,7.90
1773,8.94,7.99,1773,8.22,7.97
1774,7.76,7.94,1774,8.77,8.01
1775,9.27,8.08,1775,9.18,8.10
1776,8.00,8.05,1776,8.30,8.09
1777,7.79,8.07,1777,8.26,8.09
1778,8.68,8.18,1778,8.54,8.27
1779,9.91,8.37,1779,8.98,8.40
1780,8.27,8.40,1780,9.43,8.57
1781,9.32,8.62,1781,8.10,8.60
1782,7.67,8.56,1782,7.90,8.57
1783,9.08,8.58,1783,7.68,8.51
1784,6.92,8.49,1784,7.86,8.42
1785,7.02,8.27,1785,7.36,8.24
1786,7.06,8.17,1786,8.26,8.24
1787,8.50,8.24,1787,8.03,8.21
1788,7.82,8.16,1788,8.45,8.21
1789,8.29,8.00,1789,8.33,8.14
1790,8.48,8.02,1790,7.98,8.00
1791,8.79,7.96,1791,8.23,8.01
1792,8.32,8.03,1792,8.09,8.03
1793,8.51,7.97,1793,8.23,8.08
1794,9.24,8.20,1794,8.53,8.15
1795,8.04,8.31,1795,8.35,8.25
1796,8.46,8.45,1796,8.27,8.25
1797,9.16,8.51,1797,8.51,8.30
1798,8.83,8.61,1798,8.67,8.32
1799,6.31,8.41,1799,8.51,8.34
1800,7.90,8.36,1800,8.48,8.39
1801,8.80,8.36,1801,8.59,8.42
1802,8.21,8.35,1802,8.58,8.47
1803,7.39,8.23,1803,8.50,8.50
1804,7.79,8.09,1804,8.84,8.53
1805,6.72,7.96,1805,8.56,8.55
1806,8.78,7.99,1806,8.43,8.57
1807,8.44,7.92,1807,8.28,8.54
1808,7.70,7.80,1808,7.63,8.44
1809,7.91,7.96,1809,7.08,8.30
1810,7.76,7.95,1810,6.92,8.14
1811,9.25,8.00,1811,6.86,7.97
1812,6.91,7.87,1812,7.05,7.82
1813,8.16,7.94,1813,7.74,7.74
1814,6.88,7.85,1814,7.59,7.61
1815,7.90,7.97,1815,7.24,7.48
1816,7.06,7.80,1816,6.94,7.33
1817,8.22,7.78,1817,6.98,7.20
1818,8.59,7.86,1818,7.83,7.22
1819,8.87,7.96,1819,7.37,7.25
1820,7.30,7.91,1820,7.62,7.32
1821,8.47,7.84,1821,8.09,7.45
1822,9.50,8.10,1822,8.19,7.56
1823,7.65,8.04,1823,7.72,7.56
1824,8.89,8.25,1824,8.55,7.65
1825,8.85,8.34,1825,8.39,7.77
1826,9.04,8.54,1826,8.36,7.91
1827,8.25,8.54,1827,8.81,8.09
1828,8.52,8.53,1828,8.17,8.13
1829,6.06,8.25,1829,7.94,8.18
1830,7.42,8.27,1830,8.52,8.27
1831,8.74,8.29,1831,7.64,8.23
1832,7.97,8.14,1832,7.45,8.16
1833,8.31,8.21,1833,8.01,8.18
1834,9.79,8.30,1834,8.15,8.14
1835,8.32,8.24,1835,7.39,8.04
1836,8.15,8.15,1836,7.70,7.98
1837,7.61,8.09,1837,7.38,7.84
1838,6.54,7.89,1838,7.51,7.77
1839,7.87,8.07,1839,7.63,7.74
1840,7.29,8.06,1840,7.80,7.67
1841,8.25,8.01,1841,7.69,7.67
1842,8.44,8.06,1842,8.02,7.73
1843,8.49,8.08,1843,8.17,7.74
1844,7.18,7.81,1844,7.65,7.69
1845,7.24,7.71,1845,7.85,7.74
1846,9.45,7.84,1846,8.55,7.83
1847,7.85,7.86,1847,8.09,7.90
1848,8.25,8.03,1848,7.98,7.94
1849,7.50,7.99,1849,7.98,7.98
1850,7.67,8.03,1850,7.90,7.99
1851,8.02,8.01,1851,8.18,8.04
1852,8.84,8.05,1852,8.10,8.05
1853,6.90,7.89,1853,8.04,8.03
1854,8.21,7.99,1854,8.21,8.09
1855,6.38,7.91,1855,8.11,8.11
1856,7.66,7.73,1856,8.00,8.06
1857,8.93,7.84,1857,7.76,8.03
1858,7.72,7.78,1858,8.10,8.04
1859,9.10,7.94,1859,8.25,8.07
1860,7.27,7.90,1860,7.96,8.07
1861,8.36,7.94,1861,7.85,8.04
1862,8.43,7.90,1862,7.56,7.98
1863,9.09,8.12,1863,8.11,7.99
1864,6.75,7.97,1864,7.98,7.97
1865,8.34,8.17,1865,8.18,7.98
1866,8.76,8.28,1866,8.29,8.00
1867,7.69,8.15,1867,8.44,8.07
1868,9.57,8.34,1868,8.25,8.09
1869,8.23,8.25,1869,8.43,8.11
1870,7.25,8.25,1870,8.20,8.13
1871,6.83,8.09,1871,8.12,8.16
1872,9.26,8.18,1872,8.19,8.22
1873,8.61,8.13,1873,8.35,8.24
1874,8.47,8.30,1874,8.43,8.29
1875,7.86,8.25,1875,7.86,8.26
1876,7.99,8.18,1876,8.08,8.24
1877,8.11,8.22,1877,8.54,8.25
1878,8.71,8.13,1878,8.83,8.30
1879,6.61,7.97,1879,8.17,8.28
1880,8.44,8.09,1880,8.12,8.27
1881,7.09,8.12,1881,8.27,8.28
1882,8.73,8.06,1882,8.13,8.28
1883,8.15,8.02,1883,7.98,8.24
1884,8.89,8.06,1884,7.77,8.18
1885,7.78,8.05,1885,7.92,8.18
1886,7.98,8.05,1886,7.95,8.17
1887,7.41,7.98,1887,7.91,8.11
1888,6.95,7.80,1888,8.09,8.03
1889,7.91,7.93,1889,8.32,8.05
1890,7.76,7.87,1890,7.97,8.03
1891,7.79,7.94,1891,8.02,8.01
1892,7.44,7.81,1892,8.07,8.00
1893,8.05,7.80,1893,8.06,8.01
